client_id,age,gender,geography,tenure_years,credit_score,salary_monthly_rub,balance_rub,n_products,has_credit_card,is_active_member,tx_count_90d,turnover_outflow_90d,tx_count_30d,turnover_outflow_30d,turnover_outflow_60d_prev,days_since_last_tx,inflow_30d,inflow_60d_prev,sessions_30d,sessions_60d_prev,days_since_last_login,unsubscribe_count_90d,support_tickets_30d,push_received_90d,push_opened_90d,turnover_drop_30d_vs_60d_pct,sessions_drop_30d_vs_60d_pct,push_open_rate_90d,inflow_drop_pct,churned_in_next_28d,already_churned_at_snapshot
1,18,F,Регион,10,666,88078,192237,2,1,0,0.0,0.0,0.0,0.0,0.0,91,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2,33,M,Регион,9,739,30999,443911,3,0,0,62.0,251880.0,19.0,145351.0,56233.0,0,0.0,144658.0,17.0,8.0,3,0.0,0.0,29.0,11.0,-1.584798961463909,-1.125,0.3793103448275862,1.0,0,0
3,18,F,Москва,4,661,50042,47626,2,1,0,10.0,28441.0,0.0,0.0,0.0,64,0.0,0.0,0.0,3.0,58,1.0,0.0,17.0,5.0,0.0,1.0,0.29411764705882354,0.0,0,1
4,62,F,Москва,9,848,41879,9109,2,0,1,90.0,358170.0,41.0,146734.0,116038.0,1,119073.0,121971.0,49.0,38.0,0,0.0,0.0,29.0,21.0,-0.2645340319550492,-0.2894736842105263,0.7241379310344828,0.02375974616917136,0,0
5,41,M,Москва,0,651,30000,0,1,1,1,164.0,467034.0,51.0,143637.0,150300.0,0,99007.0,136947.0,44.0,32.0,0,0.0,0.0,29.0,13.0,0.0443313373253493,-0.375,0.4482758620689655,0.2770414832015305,0,0
6,40,F,Москва,2,785,120269,0,2,0,1,210.0,502106.0,79.0,202065.0,175646.0,0,550963.0,596617.0,27.0,44.0,0,0.0,0.0,29.0,17.0,-0.15041048472495816,0.38636363636363635,0.5862068965517241,0.0765214534617686,0,0
7,41,F,Москва,8,748,30000,9680,3,1,0,11.0,39782.0,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,64,0.0,0.0,9.0,1.0,0.0,0.0,0.1111111111111111,0.0,0,1
8,45,F,Регион,10,803,30000,19291,3,1,1,171.0,464368.0,55.0,141220.0,132729.0,0,158730.0,70766.0,27.0,19.0,0,0.0,1.0,29.0,16.0,-0.06397245515298089,-0.42105263157894735,0.5517241379310345,-1.2430263120707685,1,0
9,50,M,Москва,1,847,105723,32514,2,1,1,211.0,702790.0,75.0,289408.0,245120.0,0,307501.0,651672.0,21.0,33.0,0,1.0,0.0,29.0,17.0,-0.18067885117493473,0.36363636363636365,0.5862068965517241,0.5281353196086375,0,0
10,19,M,Москва,7,474,48976,204461,2,0,0,73.0,204992.0,22.0,40763.0,62080.0,2,177701.0,0.0,10.0,7.0,3,0.0,0.0,29.0,13.0,0.3433795103092783,-0.42857142857142855,0.4482758620689655,0.0,0,0
